SL NO,NAME,Continents,INNINGS,RUNS,BALLSFACED,OUTS,AVG,STRIKERATE,HIGHESTSCORE,FIFTIES,HUNDREDS,FOURS,SIXES,DOTPERCENTAGE,BOWLINGINNINGS,OVERS,BOWLINGRUNS,WICKETS,ECONOMY,BOWLINGAVG,BOWLINGSTRIKERATE,FIFERS,BOWLINGFOURS,BOWLINGSIXES,BOWLINGDOTPERCENTAGE,CATCHES,STUMPING
40,Mahesh Theekshana,Asia,11,88,171,5,17.6,51.5,28,0,0,3,0,61.4,22,184,799,36,4.34,22.2,30.7,0,63,9,59.5,2,0
41,Shakib Al Hasan,Asia,28,888,1093,25,35.5,81.2,96,6,0,86,4,50,26,236,974,45,4.13,21.6,31.5,2,66,17,57.3,7,0
42,Tamim Iqbal,Asia,40,1438,1761,36,39.9,81.7,158,9,3,166,21,58.2,0,0,0,0,0,0,0,0,0,0,0,20,0
43,Mehidy Hasan Miraz,Asia,29,560,715,24,23.3,78.3,100,1,1,48,12,55.4,40,318.1,1547,53,4.86,29.2,36,0,107,42,53.9,15,0
44,Mushfiqur Rahim,Asia,35,1332,1597,29,45.9,83.4,125,10,2,103,11,44.8,0,0,0,0,0,0,0,0,0,0,0,33,20
45,Taskin Ahmed,Asia,14,108,166,10,10.8,65.1,21,0,0,9,4,66.9,26,217.1,1059,35,4.88,30.3,37.2,1,104,20,63.2,4,0
46,Babar Azam,Asia,28,1876,1976,26,72.2,94.9,158,11,8,179,24,45.8,0,0,0,0,0,0,0,0,0,0,0,15,0
47,Mohammed Rizwan,Asia,24,703,809,20,35.2,86.9,77,6,0,52,6,43.1,0,0,0,0,0,0,0,0,0,0,0,22,2
48,Shaheen Afridi,Asia,9,83,94,5,16.6,88.3,23,0,0,8,3,60.6,17,149.2,827,30,5.54,27.6,29.9,1,97,13,58.3,3,0
49,Imam Ul-haq,Asia,23,1023,1175,22,46.5,87.1,106,10,2,81,11,47.1,0,0,0,0,0,0,0,0,0,0,0,6,0
50,Hasan Ali,Asia,6,83,52,4,20.8,159.6,32,0,0,6,7,46.2,7,55.4,382,9,6.86,42.4,37.1,1,47,5,58.4,5,0
