SL NO,NAME,COUNTRY,INNINGS,RUNS,BALLSFACED,OUTS,AVG,STRIKERATE,HIGHESTSCORE,FIFTIES,HUNDREDS,FOURS,SIXES,DOTPERCENTAGE,BOWLINGINNINGS,OVERS,BOWLINGRUNS,WICKETS,ECONOMY,BOWLINGAVG,BOWLINGSTRIKERATE,FIFERS,FOURS,SIXES,BOWLINGDOTPERCENTAGE,CATCHES,STUMPING
82,Anritch Nortje,South Africa,5,22,28,4,5.5,78.6,10,0,0,2,0,50,16,131.1,774,28,5.9,27.6,28.1,0,88,12,53.7,1,0
83,Temba Bavuma,South Africa,23,989,1085,20,49.4,91.2,144,3,3,86,15,47.9,1,6.1,22,0,3.57,0,0,0,3,0,64.9,20,0
84,Kagiso Rabada,South Africa,8,58,50,4,14.5,116,16,0,0,6,2,42,14,122.5,630,20,5.13,31.5,36.8,1,67,13,65.9,3,0
85,Marco Jansen,South Africa,7,131,124,5,26.2,105.6,43,0,0,12,4,49.2,9,78.3,457,10,5.82,45.7,47.1,0,46,10,60.3,3,0
86,Wiaan Mulder,South Africa,2,7,11,1,7,63.6,5,0,0,0,0,45.5,2,6.1,34,2,5.51,17,18.5,0,3,1,75.7,0,0
87,Vander Dussen,South Africa,25,1093,1148,20,54.6,95.4,134,4,4,92,14,43.8,1,1,3,1,3,3,6,0,0,0,50,10,0
88,Andile Phehlukwayo,South Africa,14,193,249,14,13.8,77.5,54,1,0,13,8,56.2,19,132,808,22,6.12,36.7,36,0,70,11,50.1,2,0
89,David Miller,South Africa,22,830,723,13,63.8,114.8,91,9,0,62,27,37.1,0,0,0,0,0,0,0,0,0,0,0,9,0
90,K Verreynne,South Africa,10,371,439,9,41.2,84.5,95,4,0,25,10,49.7,0,0,0,0,0,0,0,0,0,0,0,7,0
91,K Zondo,South Africa,1,4,7,1,4,57.1,4,0,0,0,0,42.9,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Kusal Mendis,Sri Lanka,35,1110,1306,29,38.3,85,119,7,1,111,12,50.9,0,0,0,0,0,0,0,0,0,0,0,55,0
93,Dhananjaya De Silva,Sri Lanka,31,857,1011,28,30.6,84.8,93,6,0,88,5,51.2,29,167,801,22,4.8,36.4,45.5,0,45,12,46.9,21,0
94,Angelo Mathwes,Sri Lanka,10,240,283,9,26.7,84.8,87,2,0,23,1,48.4,3,18,96,5,5.33,19.2,21.6,0,9,2,50.9,3,0
95,Dinesh Chandimal,Sri Lanka,10,255,336,10,25.5,75.9,75,2,0,17,4,50,0,0,0,0,0,0,0,0,0,0,0,22,5
96,Dimuth Karunaratne,Sri Lanka,19,759,884,17,44.6,85.9,103,7,1,78,1,50.7,0,0,0,0,0,0,0,0,0,0,0,5,0
97,Chamika Karunaratne,Sri Lanka,22,442,546,16,27.6,81,75,1,0,31,8,51.8,21,120.5,692,24,5.73,28.8,30.2,0,62,9,53,5,0
98,Lahiru Kumara,Sri Lanka,10,36,78,7,5.1,46.2,11,0,0,4,1,78.2,18,125.5,745,26,5.92,28.7,29,0,90,10,58,4,0
99,Kasun Rajitha,Sri Lanka,10,63,114,6,10.5,55.3,17,0,0,8,0,72.8,16,123.4,688,24,5.56,28.7,30.9,0,83,10,64.3,2,0
100,Charith Asalanka,Sri Lanka,30,1093,1184,27,40.5,92.3,110,8,1,91,19,46.8,6,14,82,1,5.86,82,84,0,7,1,45.2,7,0
101,Dasun Shanaka,Sri Lanka,37,823,940,34,24.2,87.6,108,1,2,67,21,50.4,28,105,584,16,5.56,36.5,39.4,0,58,4,51.6,11,0
102,Dunith Wellalge,Sri Lanka,7,109,141,6,18.2,77.3,32,0,0,9,3,56.7,8,51,303,9,5.94,33.7,34,0,26,5,45.8,3,0
103,Kusal Perrera,Sri Lanka,12,515,567,12,42.9,90.8,120,1,2,55,2,45.5,0,0,0,0,0,0,0,0,0,0,0,7,2
104,Wanindu Hasaranga,Sri Lanka,35,769,684,29,26.5,112.4,80,4,0,70,25,44.6,38,336.4,1632,58,4.85,28.1,34.8,3,113,39,52.9,11,0
105,Mahesh Theekshana,Sri Lanka,11,88,171,5,17.6,51.5,28,0,0,3,0,61.4,22,184,799,36,4.34,22.2,30.7,0,63,9,59.5,2,0
106,Pathum Nissanka,Sri Lanka,34,1264,1501,31,40.8,84.2,137,9,3,160,6,54.9,0,0,0,0,0,0,0,0,0,0,0,12,0
107,Shakib Al Hasan,Bangladesh,28,888,1093,25,35.5,81.2,96,6,0,86,4,50,26,236,974,45,4.13,21.6,31.5,2,66,17,57.3,7,0
108,Tamim Iqbal,Bangladesh,40,1438,1761,36,39.9,81.7,158,9,3,166,21,58.2,0,0,0,0,0,0,0,0,0,0,0,20,0
109,Hussain Shanto,Bangladesh,23,619,792,23,26.9,78.2,117,3,1,67,7,56.7,4,7.2,40,1,5.45,40,44,0,2,1,40.9,7,0
110,Mehidy Hasan Miraz,Bangladesh,29,560,715,24,23.3,78.3,100,1,1,48,12,55.4,40,318.1,1547,53,4.86,29.2,36,0,107,42,53.9,15,0
111,Mushfiqur Rahim,Bangladesh,35,1332,1597,29,45.9,83.4,125,10,2,103,11,44.8,0,0,0,0,0,0,0,0,0,0,0,33,20
112,Mustafizur Rahman,Bangladesh,17,58,92,8,7.2,63,18,0,0,8,0,68.5,35,266.4,1312,45,4.92,29.2,35.6,0,125,19,60.8,10,0
113,Liton Das,Bangladesh,39,1449,1643,35,41.4,88.2,176,7,4,155,27,54.1,0,0,0,0,0,0,0,0,0,0,0,27,9
114,Mossadek Hossain,Bangladesh,7,110,176,7,15.7,62.5,51,1,0,6,2,57.4,10,52,259,3,4.98,86.3,104,0,21,5,54.5,4,0
115,Shoriful Islam,Bangladesh,8,38,44,6,6.3,86.4,16,0,0,3,2,61.4,17,124.4,698,26,5.6,26.8,28.8,0,61,23,58.4,1,0
