SL NO,NAME,COUNTRY,INNINGS,RUNS,BALLSFACED,OUTS,AVG,STRIKERATE,HIGHESTSCORE,FIFTIES,HUNDREDS,FOURS,SIXES,DOTPERCENTAGE,BOWLINGINNINGS,OVERS,BOWLINGRUNS,WICKETS,ECONOMY,BOWLINGAVG,BOWLINGSTRIKERATE,FIFERS,BOWLINGFOURS,BOWLINGSIXES,BOWLINGDOTPERCENTAGE,CATCHES,STUMPING
38,N Shangase,SOUTH AFRICA,2,14,41,2,7,34.1,10,0,0,3,0,87.8,7,51.5,235,5,4.53,47,62.2,0,22,1,54.3,28,0
39,D Tucker,SOUTH AFRICA,1,14,8,0,0,175,14,0,0,2,0,12.5,2,11,52,1,4.73,52,66,0,4,0,54.5,23,0
40,A Khaka,SOUTH AFRICA,11,33,80,5,6.6,41.2,10,0,0,2,0,70,32,263.1,1093,51,4.51,21.4,31,1,105,5,66.3,5,0
41,T Sekhukhune,SOUTH AFRICA,4,10,48,3,3.3,20.8,6,0,0,0,0,81.2,15,116..4,543,11,4.65,49.4,63.6,0,62,3,63.9,1,0
42,S Jafta,SOUTH AFRICA,4,59,98,1,59,60.2,28,0,0,2,0,56.1,0,0,0,0,0,0,0,0,0,0,0,2,0
43,M kapp,SOUTH AFRICA,21,643,693,13,49.5,92.8,73,4,0,76,5,49.8,26,218.3,920,33,4.21,27.9,39.7,1,93,2,67,12,0
44,A Steyn,SOUTH AFRICA,7,225,321,5,45,70.1,84,2,0,19,0,53.6,0,0,0,0,0,0,0,0,0,0,0,4,0
45,Raisibe Ntozakhe,SOUTH AFRICA,0,0,0,0,0,0,0,0,0,0,0,0,4,21,110,4,5.24,27.5,31.5,0,7,0,69.8,1,0
46,Heather Knight,ENGLAND,33,1070,1336,29,36.9,80.1,101,8,1,111,5,51.9,13,44,244,10,4.52,24.4,32.4,0,21,0,54.3,12,0
47,Alice capsey,ENGLAND,7,127,138,7,18.1,92,40,0,0,19,1,55.8,3,12,56,1,4.67,56,72,0,4,0,47.2,3,0
48,Sophie Ecclestone,ENGLAND,26,246,341,18,13.7,72.1,33,0,0,17,3,52.8,37,345,1287,58,3.73,22.2,35.7,1,123,9,65.7,15,0
49,Tammy Beaumont,ENGLAND,37,1357,1855,34,39.9,73.2,119,9,3,157,4,58.1,0,0,0,0,0,0,0,0,0,0,0,15,3
50,Nat Scivar-Brunt,ENGLAND,3,271,289,2,135.5,93.8,129,0,2,29,1,42.9,3,24.5,120,3,4.83,40,49.7,0,9,0,51,4,0
51,Lauren Bell,ENGLAND,2,12,19,1,12,63.2,11,0,0,1,0,57.9,8,69,454,14,6.58,32.4,29.6,0,50,10,63,2,0
52,Danni Wyatt,ENGLAND,33,929,918,28,33.2,101.2,129,4,2,91,18,46.3,0,0,0,0,0,0,0,0,0,0,0,14,0
53,Emma Lamb,ENGLAND,9,336,363,9,37.3,92.6,102,2,1,48,0,52.9,5,18,96,3,5.33,32,36,0,11,0,48.1,2,0
54,Amy jones,ENGLAND,33,707,928,29,24.4,76.2,70,3,0,71,4,54.2,0,0,0,0,0,0,0,0,0,0,0,16,0
55,Freya Davies,ENGLAND,5,13,42,3,4.3,31,10,0,0,1,0,78.6,9,70.3,311,10,4.41,31.1,423,0,35,0,66.9,2,0
56,Freya Kemp,ENGLAND,2,17,21,2,8.5,81,12,0,0,1,0,47.6,2,17,106,3,6.24,35.3,34,0,12,2,59.8,0,0
57,Alice Davidson-Richards,ENGLAND,3,54,75,1,54,72,50,1,0,4,0,49.3,3,18,101,4,5.61,25.2,27,0,9,3,61.1,2,0
58,Kate Cross,ENGLAND,18,173,225,16,10.8,76.9,29,0,0,19,1,56.4,33,256.3,1200,50,4.68,24,30.8,1,150,6,65.2,15,0
