SL NO,NAME,COUNTRY,INNINGS,RUNS,BALLSFACED,OUTS,AVG,STRIKERATE,HIGHESTSCORE,FIFTIES,HUNDREDS,FOURS,SIXES,DOTPERCENTAGE,BOWLINGINNINGS,OVERS,BOWLINGRUNS,WICKETS,ECONOMY,BOWLINGAVG,BOWLINGSTRIKERATE,FIFERS,BOWLINGFOURS,BOWLINGSIXES,BOWLINGDOTPERCENTAGE,CATCHES,STUMPING
36,Mustafizur Rahman,Bangladesh,17,58,92,8,7.2,63,18,0,0,8,0,68.5,35,266.4,1312,45,4.92,29.2,35.6,0,125,19,60.8,10,0
37,Liton Das,Bangladesh,39,1449,1643,35,41.4,88.2,176,7,4,155,27,54.1,0,0,0,0,0,0,0,0,0,0,0,27,9
38,Mossadek Hossain,Bangladesh,7,110,176,7,15.7,62.5,51,1,0,6,2,57.4,10,52,259,3,4.98,86.3,104,0,21,5,54.5,4,0
39,Shoriful Islam,Bangladesh,8,38,44,6,6.3,86.4,16,0,0,3,2,61.4,17,124.4,698,26,5.6,26.8,28.8,0,61,23,58.4,1,0
40,Soumya Sarkar,Bangladesh,7,135,184,7,19.3,73.4,69,1,0,10,2,55.4,7,28.4,160,6,5.58,267,28.7,0,12,1,41.9,15,0
41,Mahmudullah,Bangladesh,33,974,1316,25,39,74,80,6,0,57,21,51.7,14,34.3,211,6,6.12,35.2,34.5,0,13,5,41.5,18,0
42,Taskin Ahmed,Bangladesh,14,108,166,10,10.8,65.1,21,0,0,9,4,66.9,26,217.1,1059,35,4.88,30.3,37.2,1,104,20,63.2,4,0
43,Nurul Hasan,Bangladesh,3,97,104,0,0,93.3,45,0,0,11,1,50,0,0,0,0,0,0,0,0,0,0,0,2,3
44,Afif Hossain,Bangladesh,24,542,623,19,28.5,87,93,3,0,49,8,50.1,8,13.4,68,3,4.98,22.7,27.3,0,5,2,52.4,10,0
45,Babar Azam,Pakistan,28,1876,1976,26,72.2,94.9,158,11,8,179,24,45.8,0,0,0,0,0,0,0,0,0,0,0,15,0
56,Mohammed Rizwan,Pakistan,24,703,809,20,35.2,86.9,77,6,0,52,6,43.1,0,0,0,0,0,0,0,0,0,0,0,22,2
47,Shaheen Afridi,Pakistan,9,83,94,5,16.6,88.3,23,0,0,8,3,60.6,17,149.2,827,30,5.54,27.6,29.9,1,97,13,58.3,3,0
48,Naseem Shah,Pakistan,2,3,11,1,3,27.3,3,0,0,0,0,72.7,8,73,345,23,4.73,15,19,2,28,34,62.3,1,0
49,Mohammad Wasim,Pakistan,7,57,59,6,9.5,96.6,17,0,0,3,3,47.5,14,109.1,581,24,5.32,24.2,27.3,0,59,8,57.9,1,0
50,Haris Rauf,Pakistan,7,11,42,4,2.8,26.2,7,0,0,1,0,81,22,188.3,1103,39,5.85,28.3,29,0,110,16,53.2,2,0
51,Imam Ul-haq,Pakistan,23,1023,1175,22,46.5,87.1,106,10,2,81,11,47.1,0,0,0,0,0,0,0,0,0,0,0,6,0
52,Usama Mir,Pakistan,3,38,26,3,12.7,146.2,20,0,0,2,3,32.3,6,58,307,10,5.29,30.7,34.8,0,22,2,44.5,1,0
53,Abdullah Shafique,Pakistan,3,28,42,3,9.3,66.7,19,0,0,0,1,47.6,0,0,0,0,0,0,0,0,0,0,0,3,0
54,Sarfaraz Ahmed,Pakistan,3,44,58,3,14.7,75.9,23,0,0,3,0,46.6,0,0,0,0,0,0,0,0,0,0,0,4,3
55,Hasan Ali,Pakistan,6,83,52,4,20.8,159.6,32,0,0,6,7,46.2,7,55.4,382,9,6.86,42.4,37.1,1,47,5,58.4,5,0
56,Shadab Khan,Pakistan,11,294,278,9,32.7,105.8,86,1,0,17,10,43.2,15,134.5,759,17,5.63,44.6,47.6,0,48,18,45.5,3,0
57,Haris Sohail,Pakistan,6,231,249,6,38.5,92.8,71,2,0,13,5,41.8,0,0,0,0,0,0,0,0,0,0,0,2,0
58,Agha Salman,Pakistan,10,337,310,7,48.1,108.7,58,3,0,29,7,41.9,10,57,318,3,5.58,106,114,0,18,7,40.4,4,0
59,Faheem Ashraf,Pakistan,7,56,65,6,9.3,86.2,23,0,0,5,1,52.3,8,57.1,316,3,5.53,105.3,114.3,0,31,7,53.6,2,0
